Manager ID,Manager Name
378,HERCULES CAPITAL ADVISORS P. LTD.
379,Hoffland Finance Ltd
380,Hornic Investments Private Limited
381,HOUSING DEVELOPMENT FINANCE CORPN.LTD.
382,HSBC ASSET MANAGEMENT (INDIA) PVT. LTD.
383,HSBC ASSET MANAGEMENT (INDIA) PVT. LTD.
384,HSBC INVESTDIRECT SECURITIES (INDIA) LIMITED
385,HUNTER WEALTH MANAGEMENT LLP
386,ICAN INVESTMENTS ADVISORS LIMITED
387,ICDS Ltd.
388,ICICI BANK LTD.
389,ICICI INVESTMENT MANAGEMENT COMPANY LIMI
390,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.
391,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.
392,ICICI SECURITIES LIMITED
393,ICICI Securities Limited
394,ICICI SECURITIES PRIMARY DEALERSHIP LTD (FORMERLY ICICI SECURITIES LTD)
395,ICICI SECURITIES PRIMARY DEALERSHIP LTD (FORMERLY ICICI SECURITIES LTD)
396,ICICI WEB TRADE LIMITED
397,IDBI CAPITAL MARKET SERVICES LTD
398,IDBI CAPITAL MARKET SERVICES LTD
399,IDFC ASSET MANAGEMENT COMPANY LIMITED
400,IDFC ASSET MANAGEMENT COMPANY LIMITED
401,IDFC Asset Management Company Limited
402,IFB SECURITIES LTD
403,IFCI Financial Services Limited
404,IIFL Asset Management Limited
405,IIFL Asset Management Limited
406,IIFL WEALTH ADVISORS INDIA LIMITED
407,IIFL WEALTH MANAGEMENT LIMITED
408,IIFL WEALTH MANAGEMENT LIMITED
409,IIFL WEALTH PORTFOLIO MANAGERS LIMITED
410,IL and FS Investment Managers Limited
411,IL&FS PORTFOLIO MANAGEMENT SERVICES LIMITED.
412,IL&FS INVESTMENT MANAGERS LIMITED
413,IL&FS INVESTSMART LTD
414,Imperial Corporate Fin. & Serv. Pvt. Ltd
415,IMPETUS WEALTH MANAGMENT PVT LTD
416,IMPETUS WEALTH MANAGMENT PVT LTD
417,Incred Capital Wealth Portfolio Managers Private Limited
418,Indbank Merchant Banking Services Ltd
419,Indgrowth Capital Advisors LLP
420,INDIA CAPITAL MARKETS PVT. LTD.
421,INDIA CAPITAL MARKETS PVT. LTD.
